1000,AAAA800101,5000,7/8/1998,165
1010,BBBB800101,5001,5/3/2000,528
1020,CCCC800101,5002,7/29/2001,582
1030,DDDD800101,5003,2/21/1998,202
1040,EEEE800101,5004,12/11/1999,263
1050,FFFF800101,5005,10/14/2000,503
1060,GGGG800101,5006,5/4/2000,324
1070,HHHH800101,5007,2/23/1998,2
1080,AAAA800101,5008,1/12/1999,86
1090,BBBB800101,5009,8/1/2000,73
1100,CCCC800101,5010,9/10/2001,699
1110,DDDD800101,5011,6/28/2003,368
1120,EEEE800101,5012,4/3/2001,215
1130,FFFF800101,5013,4/4/2002,63
1140,GGGG800101,5014,7/12/2001,219
1150,HHHH800101,5015,3/4/1999,458
1160,AAAA800101,5016,6/1/2000,162
1170,BBBB800101,5017,2/4/1998,180
1180,CCCC800101,5018,6/14/2002,407
1190,DDDD800101,5019,9/12/1998,94
1200,EEEE800101,5000,3/5/2000,177
1210,FFFF800101,5001,11/5/1999,43
1220,GGGG800101,5002,2/1/2003,24
1230,HHHH800101,5003,1/6/2003,530
1240,AAAA800101,5004,1/12/2003,152
1250,BBBB800101,5005,7/8/2002,71
1260,CCCC800101,5006,5/10/1999,460
1270,DDDD800101,5007,3/10/1999,506
1280,EEEE800101,5008,7/29/2002,107
1290,FFFF800101,5009,1/8/1998,132
1300,GGGG800101,5010,1/8/2003,119
1310,HHHH800101,5011,4/12/2002,72
1320,AAAA800101,5012,1/6/2003,698
1330,BBBB800101,5013,12/10/1998,554
1340,CCCC800101,5014,12/2/2002,324
1350,DDDD800101,5015,5/9/1999,272
1360,EEEE800101,5016,11/7/2000,364
1370,FFFF800101,5017,2/12/2000,44
1380,GGGG800101,5018,3/3/2002,302
1390,HHHH800101,5019,1/12/2003,107
1400,AAAA800101,5000,3/12/2002,382
1410,BBBB800101,5001,2/5/2000,601
1420,CCCC800101,5002,4/7/1998,603
1430,DDDD800101,5003,9/2/1999,576
1000,AAAA800101,5019,8/8/1999,254
1010,BBBB800101,5018,3/29/2002,523
1020,CCCC800101,5017,2/4/1999,8
1030,DDDD800101,5016,11/5/2000,295
1040,EEEE800101,5015,7/12/2002,540
1050,FFFF800101,5014,3/7/1999,623
1060,GGGG800101,5013,1/2/2000,692
1070,HHHH800101,5012,12/3/1999,503
1080,AAAA800101,5011,11/7/2002,699
1090,BBBB800101,5010,1/3/1998,421
1100,CCCC800101,5009,8/6/2000,466
1110,DDDD800101,5008,5/10/1999,337
1120,EEEE800101,5007,7/7/2001,692
1130,FFFF800101,5006,7/6/2002,562
1140,GGGG800101,5005,9/2/2001,583
1150,HHHH800101,5004,8/10/2001,453
1160,AAAA800101,5019,6/9/1999,244
1170,BBBB800101,5018,11/12/1999,53
1180,CCCC800101,5017,3/3/2001,334
1190,DDDD800101,5016,2/4/2000,356
1200,EEEE800101,5015,5/6/2000,585
1210,FFFF800101,5014,11/3/2001,70
1220,GGGG800101,5013,7/4/2002,658
1230,HHHH800101,5012,12/9/2002,312
1240,AAAA800101,5011,8/12/2000,366
1250,BBBB800101,5010,4/4/2002,691
1260,CCCC800101,5009,8/9/1999,631
1270,DDDD800101,5008,9/3/1997,546
1280,EEEE800101,5007,2/3/2000,331
1290,FFFF800101,5006,2/8/2001,279
1300,GGGG800101,5005,6/10/2002,521
1310,HHHH800101,5019,10/2/2002,199
1320,AAAA800101,5018,3/7/2000,413
1330,BBBB800101,5017,8/11/2000,93
1340,CCCC800101,5016,11/6/1998,674
1350,DDDD800101,5015,8/2/1999,261
1360,EEEE800101,5014,4/7/2002,265
1370,FFFF800101,5013,4/8/2000,575
1380,GGGG800101,5012,7/8/1998,645
1390,HHHH800101,5011,11/8/2001,697
1400,AAAA800101,5010,6/5/1998,116
1410,BBBB800101,5009,5/3/2002,467
1420,CCCC800101,5008,8/2/2000,278
1430,DDDD800101,5007,1/9/1998,13
1000,AAAA800101,5019,4/6/2000,7
1010,BBBB800101,5018,11/10/2000,667
1020,CCCC800101,5017,5/4/2001,478
1030,DDDD800101,5016,4/9/1998,139
1040,EEEE800101,5015,6/10/2000,546
1050,FFFF800101,5014,6/4/1999,90
1060,GGGG800101,5013,7/10/2000,47
1070,HHHH800101,5012,4/1/2000,516
1080,AAAA800101,5011,6/1/2003,429
1090,BBBB800101,5010,6/6/1998,612
1100,CCCC800101,5009,5/7/2002,523
1110,DDDD800101,5008,2/9/2000,292
1120,EEEE800101,5007,3/12/1998,167
1130,FFFF800101,5006,5/6/1999,673
1140,GGGG800101,5005,2/7/1998,651
1150,HHHH800101,5004,9/1/2003,270
1160,AAAA800101,5019,2/8/2002,665
1170,BBBB800101,5018,8/6/2001,517
1180,CCCC800101,5017,6/1/2001,216
1190,DDDD800101,5016,3/7/2003,622
1200,EEEE800101,5015,7/10/2000,653
1210,FFFF800101,5014,9/6/2001,479
1220,GGGG800101,5013,2/8/2001,653
1230,HHHH800101,5012,3/8/1999,115
1240,AAAA800101,5011,8/5/2003,549
1250,BBBB800101,5010,5/8/1998,690
1260,CCCC800101,5009,2/10/2003,2
1270,DDDD800101,5008,4/12/2002,324
1280,EEEE800101,5007,12/7/2002,448
1290,FFFF800101,5006,1/7/1999,336
1300,GGGG800101,5005,2/2/2003,457
1310,HHHH800101,5019,8/3/2000,463
1320,AAAA800101,5018,12/3/1999,163
